mention_id,cluster_size
US8524441-0,115
US10474294-0,4463
US6112994-0,1716
US8529225-0,314
US11003933-0,46
US11506412-0,51761
US4000860-0,81
USD337607-0,84525
US9013877-0,33
US10663018-1,7793
US7703967-0,45
US10326798-1,2
US9897930-0,4346
US7124623-0,18448
USD465357-1,22
USD466812-0,2
US4912468-0,46
US4071681-0,628
US11054891-0,26205
US5679283-0,1283
US9135984-0,33709
US9615924-0,605
US5897911-0,1530
US8190455-0,36
US5732496-0,102
US7979140-0,226
US4283150-0,16377
US9771386-1,102
US9215593-0,11171
USPP27478-0,448
US8497921-0,84525
US6320213-0,634
USD763564-0,46
US10363276-1,7704
USD476456-0,18
US10033991-0,1360
US10740877-0,9582
US4906464-0,9
US4407795-0,3635
US9255384-0,505
US11538089-0,521
US9090630-0,7
US7436419-0,84525
US4636603-0,6784
US11190713-0,84525
US4436648-0,2740
US9551676-0,884
US6362434-0,147
US11388720-0,32464
US7711597-0,197
US9814937-0,646
US5847575-0,2307
US7242194-0,9009
US8401099-0,42903
USD772725-0,669
US6033437-0,1
US8149516-0,84525
US5218123-0,2582
US9549343-1,2774
US6693910-0,2103
US6946388-0,15252
US8077418-0,728
US8147983-0,1389
US10663159-0,59
US5063957-0,8
US11305784-0,76
US11127767-1,13764
US5082715-0,7918
US6853618-0,229
USPP19485-0,122
US4650963-0,7259
US7591934-0,56
US7554693-0,11765
US6963449-0,1733
US8579521-0,47067
US10323852-1,9
US8940586-0,30425
US6221975-0,251
US6086468-0,1
US9853947-0,17
US11002035-0,4
US11349559-0,35
US6248539-0,1142
US9589820-0,30425
US8801638-0,2
US10074822-0,15590
USD520207-0,87
US6340381-0,33
US7577802-0,2349
US8122753-0,39
US4017924-0,5
US10879098-0,30425
US8686416-0,15590
US10580417-2,12955
US9518565-0,5030
US4446075-0,40
US5432575-0,3085
US4709348-0,157757
US6658265-0,620
US11265780-0,4088
US6158990-0,1107
US8588631-0,84525
US8856219-0,53
USD860499-0,78
US6437199-0,1312
USD592429-0,334
US6204777-0,179
US6310620-0,49
US5580082-0,3031
US6014131-0,1
US10587315-0,3
US9285520-0,4463
US8664550-0,7
US4420771-0,2740
US3972146-0,1
US5183402-0,5
US6973419-0,10719
US5406507-0,2661
US4572630-0,19303
US10582538-0,32464
US7872228-0,63
US8737759-0,48115
US11014194-0,541
US10124791-0,23036
US6116272-0,3747
USD331516-0,109
US9468950-0,7671
US4778939-0,21618
US6502883-0,26
US8405434-0,20093
US6638160-0,467
US8661033-0,8
US5505106-0,2484
US7675122-0,3937
USD940561-0,39
US8016764-0,2209
US11125089-0,50315
US6891109-0,11573
US4375204-0,12936
US4644384-0,4799
US10853778-0,2046
US8294713-0,3800
US7777799-0,21618
US8416000-0,15590
US8567685-0,59520
US10338463-1,896
US7576036-0,14109
US8426662-0,681
US11046753-0,4
USD986068-0,406
US4020118-0,542
US8500761-0,36
US6374364-0,18008
US8825903-0,88
US7764264-0,1213
US11479520-0,20
USD722850-0,171
US10602443-0,150544
US5432187-0,686
US6561264-0,18448
US4841860-0,3
US9092435-0,1922
US10357281-0,65
US10245435-0,39
US7514089-0,18
US6750738-0,13
US7768442-0,15
US4266230-0,1
US11344430-0,1396
USD518529-0,19
US5238968-0,1376
US6602867-0,4145
US11060072-0,383
US3997014-0,1
US11522079-0,184
US9607370-0,20481
US9447194-0,53
US6916858-0,271
USD491233-0,457
US5987167-0,33599
US6084537-0,48115
USRE42823-0,13
US4064977-0,56
US11607040-1,326
US9432930-0,42903
US9467607-0,48
USD696749-0,132
US4895107-0,51991
US4765384-0,694
